🙆,🙆,🙆,🙆,🙆,🙆,U+1F646,\xF0\x9F\x99\x86,FACE WITH OK GESTURE
🙇,🙇,🙇,🙇,🙇,🙇,U+1F647,\xF0\x9F\x99\x87,PERSON BOWING DEEPLY
🙈,🙈,🙈,🙈,🙈,🙈,U+1F648,\xF0\x9F\x99\x88,SEE-NO-EVIL MONKEY
🙉,🙉,🙉,🙉,🙉,🙉,U+1F649,\xF0\x9F\x99\x89,HEAR-NO-EVIL MONKEY
🙊,🙊,🙊,🙊,🙊,🙊,U+1F64A,\xF0\x9F\x99\x8A,SPEAK-NO-EVIL MONKEY
🙋,🙋,🙋,🙋,🙋,🙋,U+1F64B,\xF0\x9F\x99\x8B,HAPPY PERSON RAISING ONE HAND
🙌,🙌,🙌,🙌,🙌,🙌,U+1F64C,\xF0\x9F\x99\x8C,PERSON RAISING BOTH HANDS IN CELEBRATION
🙍,🙍,🙍,🙍,🙍,🙍,U+1F64D,\xF0\x9F\x99\x8D,PERSON FROWNING
🙎,🙎,🙎,🙎,🙎,🙎,U+1F64E,\xF0\x9F\x99\x8E,PERSON WITH POUTING FACE
🙏,🙏,🙏,🙏,🙏,🙏,U+1F64F,\xF0\x9F\x99\x8F,PERSON WITH FOLDED HANDS
